user_id	item_id	rating
13934.0	37.0	2.9
8881.0	1.0	1.0
91.0	62.0	4.4
18836.0	65.0	4.7
9015.0	22.0	2.7
10036.0	12.0	1.9
870.0	50.0	4.3
10204.0	43.0	1.6
8786.0	19.0	1.9
20226.0	68.0	3.4
1674.0	34.0	1.0
8357.0	26.0	3.1
12619.0	48.0	1.0
6245.0	74.0	1.0
2368.0	19.0	3.2
17976.0	60.0	2.2
14657.0	85.0	2.9
13180.0	99.0	3.3
15988.0	52.0	1.4
23017.0	93.0	1.0
9036.0	2.0	1.2
11133.0	16.0	1.0
6257.0	35.0	1.0
4255.0	60.0	3.6
11914.0	12.0	4.0
5256.0	4.0	3.7
13237.0	57.0	1.0
22968.0	34.0	1.4
2764.0	62.0	4.6
718.0	28.0	2.0
2808.0	27.0	4.3
10299.0	42.0	4.8
2184.0	22.0	3.1
4401.0	84.0	3.7
1430.0	9.0	2.4
20857.0	96.0	4.1
18089.0	86.0	4.5
13901.0	79.0	1.0
8108.0	77.0	4.7
3406.0	92.0	4.6
9668.0	61.0	4.1
6106.0	65.0	1.0
19783.0	42.0	4.5
5885.0	1.0	4.2
20935.0	28.0	1.0
15046.0	85.0	1.0
11477.0	53.0	4.2
8725.0	55.0	2.4
18483.0	9.0	1.5
6428.0	98.0	1.0
10083.0	94.0	4.5
13335.0	18.0	2.4
13612.0	35.0	4.2
9860.0	12.0	2.5
5988.0	51.0	2.9
14295.0	69.0	2.8
9268.0	16.0	1.0
14988.0	25.0	4.6
15934.0	8.0	1.0
1386.0	19.0	1.5
23477.0	37.0	1.0
19023.0	56.0	1.0
22691.0	48.0	1.0
1658.0	15.0	1.0
5822.0	77.0	4.5
12554.0	25.0	3.3
290.0	9.0	4.0
18292.0	49.0	3.8
9304.0	37.0	3.4
2955.0	7.0	1.0
18908.0	53.0	4.0
8529.0	55.0	2.0
22441.0	65.0	4.7
3099.0	51.0	2.0
9248.0	67.0	2.7
1403.0	35.0	3.9
22575.0	9.0	1.0
12694.0	39.0	3.0
13377.0	24.0	2.1
14271.0	43.0	1.0
16487.0	18.0	1.3
8193.0	35.0	4.0
10169.0	45.0	1.8
6454.0	68.0	1.9
23020.0	10.0	3.7
14677.0	32.0	2.9
21892.0	18.0	2.1
16402.0	68.0	2.2
12702.0	8.0	3.2
17156.0	30.0	2.0
5932.0	88.0	4.3
3951.0	29.0	4.7
2136.0	28.0	3.5
12717.0	41.0	2.5
21306.0	98.0	1.0
